Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0805_2012Metric",62.826900,-80.020400,90.000000,bottom
"C2","22pF","C_0805_2012Metric",56.349900,-80.050400,270.000000,bottom
"C3","1uF","C_0805_2012Metric",46.848000,-73.533000,0.000000,bottom
"C4","10uF","C_0805_2012Metric",41.529000,-74.041000,0.000000,bottom
"C5","0.1uF","C_0805_2012Metric",49.606200,-74.703700,270.000000,bottom
"C6","0.1uF","C_0805_2012Metric",39.393100,-89.268300,180.000000,bottom
"C7","0.1uF","C_0805_2012Metric",51.689000,-89.740500,270.000000,bottom
"D1","D_Small","D_SOD-123-Pretty",23.812500,-38.100000,270.000000,bottom
"D2","D_Small","D_SOD-123-Pretty",44.450000,-34.862500,90.000000,bottom
"D3","D_Small","D_SOD-123-Pretty",63.500000,-34.862500,90.000000,bottom
"D4","D_Small","D_SOD-123-Pretty",82.550000,-34.862500,90.000000,bottom
"D5","D_Small","D_SOD-123-Pretty",101.600000,-34.862500,90.000000,bottom
"D6","D_Small","D_SOD-123-Pretty",120.650000,-34.925000,90.000000,bottom
"D7","D_Small","D_SOD-123-Pretty",139.700000,-34.925000,90.000000,bottom
"D8","D_Small","D_SOD-123-Pretty",158.750000,-34.925000,90.000000,bottom
"D9","D_Small","D_SOD-123-Pretty",177.800000,-34.925000,90.000000,bottom
"D10","D_Small","D_SOD-123-Pretty",196.850000,-34.925000,90.000000,bottom
"D11","D_Small","D_SOD-123-Pretty",215.900000,-34.925000,90.000000,bottom
"D12","D_Small","D_SOD-123-Pretty",234.950000,-34.925000,90.000000,bottom
"D13","D_Small","D_SOD-123-Pretty",237.998000,-34.925000,90.000000,bottom
"D14","D_Small","D_SOD-123-Pretty",254.000000,-34.925000,90.000000,bottom
"D15","D_Small","D_SOD-123-Pretty",257.968750,-34.925000,90.000000,bottom
"D16","D_Small","D_SOD-123-Pretty",31.496000,-57.404000,270.000000,bottom
"D17","D_Small","D_SOD-123-Pretty",53.975000,-53.975000,90.000000,bottom
"D18","D_Small","D_SOD-123-Pretty",73.025000,-53.975000,90.000000,bottom
"D19","D_Small","D_SOD-123-Pretty",92.075000,-53.975000,90.000000,bottom
"D20","D_Small","D_SOD-123-Pretty",111.125000,-53.975000,90.000000,bottom
"D21","D_Small","D_SOD-123-Pretty",130.175000,-53.975000,90.000000,bottom
"D22","D_Small","D_SOD-123-Pretty",149.225000,-53.975000,90.000000,bottom
"D23","D_Small","D_SOD-123-Pretty",168.275000,-53.975000,90.000000,bottom
"D24","D_Small","D_SOD-123-Pretty",187.325000,-53.975000,90.000000,bottom
"D25","D_Small","D_SOD-123-Pretty",206.375000,-53.975000,90.000000,bottom
"D26","D_Small","D_SOD-123-Pretty",225.425000,-53.975000,90.000000,bottom
"D27","D_Small","D_SOD-123-Pretty",244.475000,-53.975000,90.000000,bottom
"D28","D_Small","D_SOD-123-Pretty",263.525000,-53.975000,90.000000,bottom
"D29","D_Small","D_SOD-123-Pretty",266.700000,-53.975000,90.000000,bottom
"D30","D_Small","D_SOD-123-Pretty",34.925000,-73.025000,90.000000,bottom
"D31","D_Small","D_SOD-123-Pretty",58.737500,-73.025000,90.000000,bottom
"D32","D_Small","D_SOD-123-Pretty",77.787500,-73.025000,90.000000,bottom
"D33","D_Small","D_SOD-123-Pretty",96.837500,-73.025000,90.000000,bottom
"D34","D_Small","D_SOD-123-Pretty",115.887500,-73.025000,90.000000,bottom
"D35","D_Small","D_SOD-123-Pretty",134.937500,-73.025000,90.000000,bottom
"D36","D_Small","D_SOD-123-Pretty",153.987500,-73.025000,90.000000,bottom
"D37","D_Small","D_SOD-123-Pretty",173.037500,-73.025000,90.000000,bottom
"D38","D_Small","D_SOD-123-Pretty",192.087500,-73.025000,90.000000,bottom
"D39","D_Small","D_SOD-123-Pretty",211.137500,-73.025000,90.000000,bottom
"D40","D_Small","D_SOD-123-Pretty",230.187500,-73.025000,90.000000,bottom
"D41","D_Small","D_SOD-123-Pretty",249.237500,-73.025000,90.000000,bottom
"D42","D_Small","D_SOD-123-Pretty",252.412500,-73.025000,90.000000,bottom
"D43","D_Small","D_SOD-123-Pretty",36.512500,-92.075000,90.000000,bottom
"D44","D_Small","D_SOD-123-Pretty",68.262500,-92.075000,90.000000,bottom
"D45","D_Small","D_SOD-123-Pretty",87.312500,-92.075000,90.000000,bottom
"D46","D_Small","D_SOD-123-Pretty",106.362500,-92.075000,90.000000,bottom
"D47","D_Small","D_SOD-123-Pretty",125.412500,-92.075000,90.000000,bottom
"D48","D_Small","D_SOD-123-Pretty",144.462500,-92.075000,90.000000,bottom
"D49","D_Small","D_SOD-123-Pretty",163.512500,-92.075000,90.000000,bottom
"D50","D_Small","D_SOD-123-Pretty",182.562500,-92.075000,90.000000,bottom
"D51","D_Small","D_SOD-123-Pretty",201.612500,-92.075000,90.000000,bottom
"D52","D_Small","D_SOD-123-Pretty",220.662500,-92.075000,90.000000,bottom
"D53","D_Small","D_SOD-123-Pretty",239.712500,-92.075000,90.000000,bottom
"D54","D_Small","D_SOD-123-Pretty",242.887500,-92.075000,90.000000,bottom
"D55","D_Small","D_SOD-123-Pretty",30.956250,-102.393750,270.000000,bottom
"D56","D_Small","D_SOD-123-Pretty",53.975000,-102.393750,270.000000,bottom
"D57","D_Small","D_SOD-123-Pretty",77.787500,-102.393750,270.000000,bottom
"D58","D_Small","D_SOD-123-Pretty",159.543750,-102.393750,270.000000,bottom
"D59","D_Small","D_SOD-123-Pretty",241.300000,-102.393750,270.000000,bottom
"D60","D_Small","D_SOD-123-Pretty",263.525000,-102.331250,270.000000,bottom
"D61","D_Small","D_SOD-123-Pretty",287.337500,-102.331250,270.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",30.099000,-28.702000,90.000000,bottom
"R1","10k","R_0805_2012Metric",53.062900,-77.774800,0.000000,bottom
"R2","1k","R_0805_2012Metric",41.427400,-92.034600,90.000000,bottom
"R3","22","R_0805_2012Metric",24.828500,-32.734250,90.000000,bottom
"R4","22","R_0805_2012Metric",27.940000,-32.719250,90.000000,bottom
"R5","5.1k","R_0805_2012Metric",19.050000,-22.654500,90.000000,bottom
"R6","5.1k","R_0805_2012Metric",34.036000,-22.527500,90.000000,bottom
"U1","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",46.031250,-83.343750,270.000000,bottom
"Y1","16Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",59.608900,-80.059900,180.000000,bottom
